City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Fortuna,US,40.5982,-124.1573,56.86,90,90,1.01,overcast clouds
129,Santa Lucia,ES,27.9117,-15.5407,63.77,83,75,20.71,broken clouds
130,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,89,95,9.98,overcast clouds
131,San Cristobal,VE,7.7669,-72.225,66.61,94,99,2.24,overcast clouds
132,Bredasdorp,ZA,-34.5322,20.0403,50.58,62,6,5.57,clear sky
133,Manadhoo,MV,5.7667,73.3833,81.86,77,94,15.7,overcast clouds
134,Tateyama,JP,34.9833,139.8667,80.62,86,100,17.38,overcast clouds
135,Nakambala,ZM,-15.8324,27.7799,49.01,72,99,6.26,overcast clouds
136,Derzhavinsk,KZ,51.1,66.3167,62.94,46,0,6.4,clear sky
137,Buckeye,US,33.3703,-112.5838,95.14,43,0,0.0,clear sky
138,Pisco,PE,-13.7,-76.2167,64.45,82,0,10.36,clear sky
139,Yerbogachen,RU,61.2767,108.0108,85.05,38,4,8.16,clear sky
140,Lavrentiya,RU,65.5833,-171.0,44.89,99,100,4.18,overcast clouds
141,Lebu,CL,-37.6167,-73.65,45.07,79,55,16.89,broken clouds
142,Husavik,IS,66.0449,-17.3389,50.02,81,91,2.39,light rain
143,Acarau,BR,-2.8856,-40.12,77.94,80,9,14.43,clear sky
144,Palmer,US,42.1584,-72.3287,72.93,83,1,0.0,clear sky
145,Tiksi,RU,71.6872,128.8694,37.87,89,81,9.64,broken clouds
146,Ulaangom,MN,49.9811,92.0667,75.63,44,7,5.12,clear sky
147,Tay Ninh,VN,11.3,106.1,88.23,60,10,16.53,clear sky
148,Victoria,HK,22.2855,114.1577,94.96,77,99,7.0,overcast clouds
149,Severnoye,RU,56.3491,78.3619,60.6,58,5,8.37,clear sky
150,Goure,NE,13.9835,10.2704,74.01,84,99,10.33,overcast clouds
151,Honiara,SB,-9.4333,159.95,83.64,76,94,4.99,overcast clouds
152,Parabel,RU,58.6978,81.4825,59.86,59,41,14.67,scattered clouds
153,Urumqi,CN,43.801,87.6005,90.55,16,0,13.42,clear sky
154,Riberalta,BO,-10.9833,-66.1,75.81,59,5,1.57,clear sky
155,Semey,KZ,50.4111,80.2275,68.22,56,0,13.42,clear sky
156,Pahalgam,IN,34.0333,75.3333,68.88,88,80,3.65,broken clouds
157,Mandalgovi,MN,45.7625,106.2708,70.57,43,69,5.14,broken clouds
158,Kurilsk,RU,45.2333,147.8833,66.97,90,99,7.7,overcast clouds
159,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,5.75,overcast clouds
160,Sembe,CG,1.6481,14.5806,71.44,87,97,5.59,overcast clouds
161,Neiafu,TO,-18.65,-173.9833,81.28,74,75,2.3,broken clouds
162,Rundu,NA,-17.9333,19.7667,43.93,54,0,6.42,clear sky
163,Oktyabrskoye,RU,43.0645,44.7417,66.34,93,42,4.47,scattered clouds
164,Hobart,AU,-42.8794,147.3294,61.27,56,75,3.0,broken clouds
165,Kasangulu,CD,-4.5911,15.1708,65.7,85,51,3.44,broken clouds
166,Synya,RU,65.3718,58.0387,43.23,94,96,6.17,overcast clouds
167,Muscat,OM,23.6139,58.5922,98.62,49,81,6.55,broken clouds
168,Boca Do Acre,BR,-8.7522,-67.3978,77.7,64,62,1.97,broken clouds
169,Kashin,RU,57.3592,37.6081,61.93,67,26,3.83,scattered clouds
170,Calvia,ES,39.5657,2.5062,70.09,70,0,2.17,clear sky
171,Komsomolskiy,UZ,40.4272,71.7189,88.52,27,1,9.22,clear sky
172,Silver City,US,32.7701,-108.2803,75.16,50,90,4.0,overcast clouds
173,Jumla,NP,29.2747,82.1838,69.28,86,98,3.06,overcast clouds
174,Chkalovskoye,RU,44.8392,133.0436,94.62,41,72,3.22,broken clouds
175,Hasaki,JP,35.7333,140.8333,81.28,74,23,19.95,few clouds
176,Avera,US,33.194,-82.5271,81.91,70,49,6.38,scattered clouds
177,Sunndalsora,NO,62.6754,8.5515,70.45,74,79,10.51,broken clouds
178,Meadville,US,41.6414,-80.1515,70.83,80,1,4.61,clear sky
179,Isangel,VU,-19.55,169.2667,74.53,64,100,15.39,overcast clouds
180,Limot,PH,7.0405,126.2727,89.06,55,86,6.69,overcast clouds
181,Svetlogorsk,BY,52.6333,29.7333,68.04,59,95,6.11,overcast clouds
182,Severo-Kurilsk,RU,50.6789,156.125,61.56,87,78,9.8,broken clouds
183,Laguna,US,38.421,-121.4238,88.45,38,1,4.0,clear sky
184,Lensk,RU,60.7253,114.9278,88.84,31,5,5.95,clear sky
185,Maldonado,UY,-34.6667,-54.9167,50.23,89,13,5.01,few clouds
186,Funtua,NG,11.5233,7.3081,68.31,95,100,8.97,overcast clouds
187,Necochea,AR,-38.5473,-58.7368,37.04,69,95,21.9,moderate rain
188,Tilichiki,RU,60.4667,166.1,55.31,96,100,3.87,light rain
189,Kruisfontein,ZA,-34.0033,24.7314,68.88,27,11,19.33,few clouds
190,Gondanglegi,ID,-7.7479,112.0132,86.43,51,50,8.52,scattered clouds
191,Hay River,CA,60.8156,-115.7999,62.56,82,75,5.75,light intensity shower rain
192,Eastbourne,GB,50.7687,0.2845,64.18,92,100,5.99,overcast clouds
193,Iberia,US,29.9502,-91.7507,84.27,83,1,0.0,clear sky
194,Gizo,SB,-8.103,156.8419,83.43,74,23,7.2,few clouds
195,Urucara,BR,-2.5364,-57.76,75.15,66,59,2.62,broken clouds
196,Axim,GH,4.8699,-2.2405,76.24,78,100,9.28,overcast clouds
197,Lompoc,US,34.6391,-120.4579,73.22,84,90,3.44,overcast clouds
198,Kaitangata,NZ,-46.2817,169.8464,54.93,47,8,8.1,clear sky
199,Yabelo,ET,4.8833,38.0833,55.85,69,80,8.21,broken clouds
200,Mar Del Plata,AR,-38.0023,-57.5575,39.0,45,10,8.01,heavy intensity rain
201,Mandal,IN,25.45,74.5667,76.15,87,100,13.49,overcast clouds
202,Chiang Khong,TH,20.2613,100.4046,83.41,88,81,3.27,broken clouds
203,Iskateley,RU,67.6803,53.1512,47.05,83,99,12.21,overcast clouds
204,Skegness,GB,53.1436,0.3363,62.58,85,96,7.14,overcast clouds
205,Dickinson,US,29.4608,-95.0513,88.16,78,20,1.01,few clouds
206,Tadpatri,IN,14.9167,78.0167,81.19,64,79,21.9,broken clouds
207,Barrow,US,71.2906,-156.7887,46.42,93,90,6.91,light rain
208,Roma,US,43.2128,-75.4557,73.26,82,1,0.0,clear sky
209,Chuy,UY,-33.6971,-53.4616,45.37,85,0,7.83,clear sky
210,Moron,AR,-34.6534,-58.6198,48.96,55,53,7.0,broken clouds
211,Akyab,MM,20.15,92.9,80.49,86,100,20.36,moderate rain
212,Bhag,PK,29.0415,67.8239,95.79,48,100,10.29,overcast clouds
213,Koutiala,ML,12.3917,-5.4642,76.15,83,89,4.21,light rain
214,Thompson,CA,55.7435,-97.8558,57.36,72,20,0.0,few clouds
215,Labuhan,ID,-6.8844,112.2051,83.43,56,6,3.47,clear sky
216,Georgetown,MY,5.4112,100.3354,86.9,77,20,5.75,few clouds
217,Ravenna,IT,44.4167,11.9833,76.62,87,94,2.24,light rain
218,Flinders,AU,-34.5833,150.8552,71.19,45,1,7.0,clear sky
219,Lorengau,PG,-2.0226,147.2712,82.92,76,83,3.74,broken clouds
220,Ibipeba,BR,-11.6408,-42.0111,63.82,79,21,7.38,few clouds
221,Sept-Iles,CA,50.2001,-66.3821,63.12,93,90,1.01,overcast clouds
222,Rapid Valley,US,44.0625,-103.1463,87.4,37,1,11.5,clear sky
223,Codrington,AU,-38.2667,141.9667,56.77,62,100,23.42,overcast clouds
224,Bud,US,39.447,-86.1758,75.58,83,0,6.87,clear sky
225,Zinder,NE,13.8072,8.9881,74.91,80,100,12.33,overcast clouds
226,Viedma,AR,-40.8135,-62.9967,42.8,65,99,23.62,overcast clouds
227,Tambun,ID,-6.2641,107.0712,87.84,51,0,4.61,haze
228,Ayan,RU,56.45,138.1667,70.83,57,96,6.91,overcast clouds
229,Makushino,RU,55.2103,67.2442,62.89,50,97,9.35,overcast clouds
230,Longyearbyen,SJ,78.2186,15.6401,42.64,93,90,1.14,overcast clouds
231,Suntar,RU,62.1444,117.6319,88.2,37,32,2.82,scattered clouds
232,Bohusovice Nad Ohri,CZ,50.4932,14.1505,65.86,93,100,1.23,overcast clouds
233,Banda Aceh,ID,5.5577,95.3222,85.93,68,80,11.99,broken clouds
234,Marsa Matruh,EG,31.3525,27.2453,76.51,77,0,10.78,clear sky
235,Bunumbu,SL,8.1667,-10.8667,71.74,99,100,1.86,overcast clouds
236,Ginda,IN,30.6945,78.4932,72.28,88,94,3.65,overcast clouds
237,Grande Prairie,CA,55.1667,-118.8027,68.18,56,75,5.75,broken clouds
238,Pandan,PH,14.0453,124.1694,88.07,67,100,15.19,overcast clouds
239,Makat,KZ,47.6469,53.3463,74.32,24,3,9.26,clear sky
240,Karpogory,RU,64.0019,44.4451,50.36,76,100,9.06,overcast clouds
241,Port Elizabeth,ZA,-33.918,25.5701,72.1,33,0,6.91,clear sky
242,Cabedelo,BR,-6.9811,-34.8339,72.27,83,4,8.05,clear sky
243,Hovd,MN,48.0056,91.6419,71.6,45,14,3.76,few clouds
244,Asfi,MA,32.2994,-9.2372,67.69,88,24,15.39,few clouds
245,Xining,CN,36.6167,101.7667,64.29,64,93,7.56,overcast clouds
246,Bosaso,SO,11.2842,49.1816,86.74,40,40,19.24,scattered clouds
247,Alofi,NU,-19.0595,-169.9187,80.49,69,40,5.75,scattered clouds
248,Khiri Mat,TH,16.8333,99.8,84.11,83,99,6.15,overcast clouds
249,Malanje,AO,-9.5402,16.341,58.82,37,100,3.83,overcast clouds
250,Talnakh,RU,69.4865,88.3972,81.36,47,99,13.6,overcast clouds
251,Iwanai,JP,42.9744,140.5089,90.25,44,1,3.4,clear sky
252,Kodiak,US,57.79,-152.4072,62.11,55,75,5.75,broken clouds
253,Neyshabur,IR,36.2133,58.7958,81.95,29,0,6.13,clear sky
254,Cherskiy,RU,68.75,161.3,52.25,50,11,23.2,few clouds
255,Inirida,CO,3.8653,-67.9239,71.4,97,87,2.19,overcast clouds
256,Veraval,IN,20.9,70.3667,81.9,85,100,22.06,overcast clouds
257,Vanimo,PG,-2.6741,141.3028,86.05,65,47,7.58,scattered clouds
258,Ibra,OM,22.6906,58.5334,86.56,49,31,5.14,scattered clouds
259,Cockburn Town,TC,21.4612,-71.1419,82.45,84,15,15.48,few clouds
260,Padang,ID,-0.9492,100.3543,86.05,68,8,2.68,clear sky
261,Hofn,IS,64.2539,-15.2082,51.85,91,100,7.02,overcast clouds
262,Kutum,SD,14.2,24.6667,68.94,75,100,2.93,overcast clouds
263,Begusarai,IN,25.4167,86.1333,87.73,68,100,7.27,moderate rain
264,Teya,RU,60.3778,92.6267,80.42,46,37,8.81,scattered clouds
265,Wasilla,US,61.5814,-149.4394,68.77,55,1,5.75,clear sky
266,Brae,GB,60.3964,-1.353,55.31,98,100,10.85,overcast clouds
267,Roseburg,US,43.2165,-123.3417,83.62,37,1,8.05,clear sky
268,Aromashevo,RU,56.8602,68.6375,60.64,62,88,7.29,overcast clouds
269,Deputatskiy,RU,69.3,139.9,50.59,57,94,5.64,overcast clouds
270,Dankov,RU,53.2515,39.1555,65.16,70,29,4.29,scattered clouds
271,Nantucket,US,41.2835,-70.0995,72.97,96,90,9.22,fog
272,Santa Rosalia,MX,27.3167,-112.2833,84.99,58,0,2.64,clear sky
273,Houston,US,29.7633,-95.3633,88.09,74,1,1.99,clear sky
274,Bozova,TR,37.3625,38.5267,79.72,39,0,4.25,clear sky
275,Hambantota,LK,6.1241,81.1185,83.41,74,100,19.37,overcast clouds
276,Myitkyina,MM,25.3833,97.4,81.77,86,95,1.07,overcast clouds
277,Esperance,AU,-33.8667,121.9,58.84,70,75,37.38,light rain
278,Aklavik,CA,68.2191,-135.0107,59.83,84,100,3.4,overcast clouds
279,Nouadhibou,MR,20.931,-17.0347,69.87,85,5,20.76,clear sky
280,Rocky Mountain House,CA,52.3668,-114.9188,71.35,68,3,2.3,clear sky
281,Krasnozatonskiy,RU,61.6758,50.9794,46.62,87,75,8.95,broken clouds
282,Tsabong,BW,-26.0217,22.401,43.45,48,0,12.3,clear sky
283,Sambalpur,IN,21.45,83.9667,79.83,77,100,10.47,overcast clouds
284,Salalah,OM,17.0151,54.0924,78.89,89,75,9.22,broken clouds
285,Montrose,US,38.4166,-108.2673,71.01,79,99,8.66,overcast clouds
286,Fortuna Foothills,US,32.6578,-114.4119,96.85,27,1,4.0,clear sky
287,Vao,NC,-22.6667,167.4833,68.38,60,15,15.37,few clouds
288,Santa Cruz,BO,-17.8,-63.1667,71.06,88,0,2.3,clear sky
289,Saint-Augustin,CA,51.226,-58.6502,57.83,92,100,9.06,overcast clouds
290,Tuatapere,NZ,-46.1333,167.6833,52.83,62,14,4.97,few clouds
291,Taoudenni,ML,22.6783,-3.9836,96.55,8,0,4.45,clear sky
292,Pacific Grove,US,36.6177,-121.9166,73.15,86,90,3.0,haze
293,Petatlan,MX,17.5167,-101.2667,79.56,90,96,1.41,overcast clouds
294,Fairbanks,US,64.8378,-147.7164,71.56,48,75,9.22,broken clouds
295,Lagos,NG,6.5833,3.75,74.61,78,96,6.8,overcast clouds
296,Havoysund,NO,70.9963,24.6622,52.68,76,35,5.88,scattered clouds
297,Aykhal,RU,66.0,111.5,84.09,34,35,5.48,scattered clouds
298,Castro,BR,-24.7911,-50.0119,58.21,60,61,5.14,broken clouds
299,Izhma,RU,65.0083,53.9113,43.99,92,89,10.36,overcast clouds
300,Clyde River,CA,70.4692,-68.5914,35.83,100,75,3.44,broken clouds
301,Kahului,US,20.8947,-156.47,83.46,77,40,25.32,scattered clouds
302,Katsuura,JP,35.1333,140.3,80.71,89,99,17.87,overcast clouds
303,Zhuhai,CN,22.2769,113.5678,94.71,66,0,6.91,clear sky
304,Sabang,ID,5.8933,95.3214,83.82,75,75,18.1,broken clouds
305,Coihaique,CL,-45.5752,-72.0662,37.35,75,0,3.44,clear sky
306,Yar-Sale,RU,66.8333,70.8333,54.86,58,68,8.16,broken clouds
307,Klaksvik,FO,62.2266,-6.589,50.92,99,100,7.85,overcast clouds
308,Vestmannaeyjar,IS,63.4427,-20.2734,50.7,80,100,14.07,overcast clouds
309,Bandarbeyla,SO,9.4942,50.8122,78.1,62,25,23.4,scattered clouds
310,Sioux Lookout,CA,50.1001,-91.917,62.67,88,90,3.44,smoke
311,Yinchuan,CN,38.4681,106.2731,87.62,25,35,2.66,scattered clouds
312,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.96,55,39,1.54,scattered clouds
313,Muros,ES,42.7762,-9.0603,63.84,92,6,4.9,clear sky
314,Parakai,NZ,-36.65,174.4333,59.14,78,6,16.75,clear sky
315,Algiers,DZ,36.7525,3.042,73.22,88,40,4.61,scattered clouds
316,Usinsk,RU,65.9939,57.5281,42.69,89,100,12.19,overcast clouds
317,Iralaya,HN,15.0,-83.2333,79.86,85,41,10.02,scattered clouds
318,Saint-Louis,SN,16.3333,-15.0,76.78,72,12,13.8,few clouds
319,Sandviken,SE,60.6167,16.7667,60.44,80,41,2.37,scattered clouds
320,Solnechnyy,RU,50.7214,136.6319,75.69,83,100,2.71,overcast clouds
321,Churapcha,RU,62.0025,132.4325,84.13,36,10,11.05,clear sky
322,Christchurch,NZ,-43.5333,172.6333,54.48,64,20,4.0,few clouds
323,Vicuna,CL,-30.0319,-70.7081,44.33,39,0,1.95,clear sky
324,Visavadar,IN,21.3833,70.6833,79.93,87,100,16.31,overcast clouds
325,Pangnirtung,CA,66.1451,-65.7125,49.15,95,84,0.65,broken clouds
326,Vysokogornyy,RU,50.1167,139.15,89.19,44,91,5.57,overcast clouds
327,Nuuk,GL,64.1835,-51.7216,48.09,86,53,10.98,broken clouds
328,Tecoanapa,MX,16.5167,-98.75,82.09,77,100,5.41,overcast clouds
329,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,12.66,few clouds
330,Meulaboh,ID,4.1363,96.1285,83.75,69,65,1.41,broken clouds
331,Lexington Park,US,38.2668,-76.4538,80.42,88,90,6.91,overcast clouds
332,Umarkot,PK,25.3616,69.7362,86.85,64,87,23.4,overcast clouds
333,Airai,TL,-8.9266,125.4092,76.66,27,72,5.3,broken clouds
334,Nemuro,JP,43.3236,145.575,70.23,99,100,10.65,overcast clouds
335,Torrington,US,41.8007,-73.1212,71.65,89,0,3.71,clear sky
336,Ugoofaaru,MV,5.6667,73.0,82.09,76,100,15.28,overcast clouds
337,Torbay,CA,47.6666,-52.7314,56.57,93,1,6.91,clear sky
338,Arlit,NE,18.7369,7.3853,90.14,43,92,18.39,overcast clouds
339,Warrnambool,AU,-38.3833,142.4833,57.81,58,100,21.34,overcast clouds
340,Sabha,LY,27.0377,14.4283,80.44,26,6,14.18,clear sky
341,Luderitz,NA,-26.6481,15.1594,58.91,67,0,6.8,clear sky
342,Miyako,JP,39.6367,141.9525,70.05,96,100,8.48,overcast clouds
343,Egvekinot,RU,66.3167,-179.1667,46.04,91,100,5.01,light rain
344,Broken Hill,AU,-31.95,141.4333,65.55,27,7,29.17,clear sky
345,Ipixuna,BR,-1.7625,-48.8043,78.75,83,53,3.67,broken clouds
346,Sumbuya,SL,7.6467,-11.9611,73.67,96,100,3.62,light rain
347,Mitu,CO,1.1983,-70.1733,70.95,99,96,0.87,overcast clouds
348,Moussoro,TD,13.6408,16.4901,81.07,71,100,7.76,overcast clouds
