City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
91,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
92,Sao Filipe,CV,74.77,scattered clouds,14.8961,-24.4956,Hotel Xaguate
98,Grosseto,IT,79.29,overcast clouds,42.8333,11.25,Almatoscana
100,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Tiruchchendur,IN,84.49,overcast clouds,8.4833,78.1167,Hotel Udhayam International
103,Idaho Falls,US,84.63,smoke,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
104,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
105,Playas,EC,70.99,clear sky,-2.6333,-80.3833,Hostal Promenade
110,Bethel,US,74.62,mist,41.3712,-73.414,Courtyard by Marriott Danbury
115,Hohhot,CN,78.22,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
119,Varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
120,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
121,Fomboni,KM,76.8,light rain,-12.28,43.7425,Auberge les abou
122,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,College,US,71.55,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
125,Muscle Shoals,US,78.94,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
130,Praia Da Vitoria,PT,73.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
133,Manadhoo,MV,81.86,overcast clouds,5.7667,73.3833,Vevu Guesthouse
134,Tateyama,JP,80.62,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
143,Acarau,BR,77.94,clear sky,-2.8856,-40.12,castelo pizzaria
144,Palmer,US,72.93,clear sky,42.1584,-72.3287,Wedgewood Motel
146,Ulaangom,MN,75.63,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
151,Honiara,SB,83.64,overcast clouds,-9.4333,159.95,Heritage Park Hotel
154,Riberalta,BO,75.81,clear sky,-10.9833,-66.1,Hotel Colonial
157,Mandalgovi,MN,70.57,broken clouds,45.7625,106.2708,В.Ганбат
161,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
168,Boca Do Acre,BR,77.7,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
170,Calvia,ES,70.09,clear sky,39.5657,2.5062,Castell Son Claret
172,Silver City,US,75.16,overcast clouds,32.7701,-108.2803,Copper Manor Motel
175,Hasaki,JP,81.28,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
177,Sunndalsora,NO,70.45,broken clouds,62.6754,8.5515,Trædal Hotel
178,Meadville,US,70.83,clear sky,41.6414,-80.1515,"Holiday Inn Express Meadville (I-79 Exit 147A), an IHG Hotel"
179,Isangel,VU,74.53,overcast clouds,-19.55,169.2667,Tanna Lodge
193,Iberia,US,84.27,clear sky,29.9502,-91.7507,back to back rv park
194,Gizo,SB,83.43,few clouds,-8.103,156.8419,Imagination Island
195,Urucara,BR,75.15,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
196,Axim,GH,76.24,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
197,Lompoc,US,73.22,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
201,Mandal,IN,76.15,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
202,Chiang Khong,TH,83.41,broken clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
206,Tadpatri,IN,81.19,broken clouds,14.9167,78.0167,VASAVI TIFFIN CENTRE
208,Roma,US,73.26,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
211,Akyab,MM,80.49,moderate rain,20.15,92.9,Hotel Memory
213,Koutiala,ML,76.15,light rain,12.3917,-5.4642,Hotel Campement Poule Verte
215,Labuhan,ID,83.43,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
217,Ravenna,IT,76.62,light rain,44.4167,11.9833,Hotel Tatì
218,Flinders,AU,71.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
219,Lorengau,PG,82.92,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
224,Bud,US,75.58,clear sky,39.447,-86.1758,Ted McQuinn Trust
225,Zinder,NE,74.91,overcast clouds,13.8072,8.9881,Hotel de Ville
228,Ayan,RU,70.83,overcast clouds,56.45,138.1667,Gostinitsa
234,Marsa Matruh,EG,76.51,clear sky,31.3525,27.2453,Beau Site
236,Ginda,IN,72.28,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
239,Makat,KZ,74.32,clear sky,47.6469,53.3463,Umit
241,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
242,Cabedelo,BR,72.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
243,Hovd,MN,71.6,few clouds,48.0056,91.6419,Hotel Khovd
247,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
248,Khiri Mat,TH,84.11,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
250,Talnakh,RU,81.36,overcast clouds,69.4865,88.3972,Talnakh Hotel
253,Neyshabur,IR,81.95,clear sky,36.2133,58.7958,Amiran Hotel
255,Inirida,CO,71.4,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
256,Veraval,IN,81.9,overcast clouds,20.9,70.3667,Lords Inn Somnath
259,Cockburn Town,TC,82.45,few clouds,21.4612,-71.1419,Osprey Beach Hotel
267,Roseburg,US,83.62,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
271,Nantucket,US,72.97,fog,41.2835,-70.0995,Jared Coffin House
272,Santa Rosalia,MX,84.99,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
274,Bozova,TR,79.72,clear sky,37.3625,38.5267,Bozova Öğretmen Evi
275,Hambantota,LK,83.41,overcast clouds,6.1241,81.1185,Bungalow 63
276,Myitkyina,MM,81.77,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
280,Rocky Mountain House,CA,71.35,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
283,Sambalpur,IN,79.83,overcast clouds,21.45,83.9667,Hotel Saket
284,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
288,Santa Cruz,BO,71.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
292,Pacific Grove,US,73.15,haze,36.6177,-121.9166,Lovers Point Inn
293,Petatlan,MX,79.56,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
294,Fairbanks,US,71.56,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
301,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
302,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
304,Sabang,ID,83.82,broken clouds,5.8933,95.3214,Hotel Citra
309,Bandarbeyla,SO,78.1,scattered clouds,9.4942,50.8122,JABIR HOTEL
312,Sao Felix Do Xingu,BR,71.96,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
315,Algiers,DZ,73.22,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
